店铺ID,店铺名称,同类排名,热度,种类编码,种类名称,收藏量,浏览量,附近商家数,人均消费,省份,城市,区域,地址,经度,维度,是否有团购,团购名称,团购价格
6601142703663106061,止观小馆,11,216301.0,10106,美食;中式餐饮;东北菜,18712,4961760.0,1544.0,571,北京市,北京市,东城区,北京市东城区朝阳门街道金鱼胡同12号,116.408979,39.913957,0,,
6601138604787894276,金掌勺东北菜(酒仙桥店),12,183606.0,10106,美食;中式餐饮;东北菜,765,141870.0,432.0,69,北京市,北京市,朝阳区,北京市朝阳区酒仙桥路1-5号,116.483243,39.985782,1,金掌勺18分店通用！139抢价值270的双人餐，称霸各大榜单的锅包肉，热菜凉菜甜品主食一样不少，俩人吃不完！,139.0
6825860886729738240,秋子渔村,13,140300.0,10106,美食;中式餐饮;东北菜,9427,1170466.0,44.0,91,北京市,北京市,通州区,北京市通州区1988国际体育小镇内100米,116.695089,39.938348,1,80元抵100代金券,80.0
6601164349081913348,金掌勺东北菜(魏公村店),14,138674.0,10106,美食;中式餐饮;东北菜,595,42587.0,372.0,56,北京市,北京市,海淀区,北京市海淀区民族大学西路18号5号楼1层,116.311343,39.952738,1,【18分店通用】东北菜扛把子！319抢价值585的4-6人餐，人均50吃正宗东北菜！,319.0
6601176530037000196,金掌勺东北菜(双榆树店),15,131624.0,10106,美食;中式餐饮;东北菜,558,27224.0,382.0,59,北京市,北京市,海淀区,北京市海淀区北三环西路双榆树西里9号,116.319227,39.966791,1,金掌勺18分店通用！139抢价值270的双人餐，称霸各大榜单的锅包肉，热菜凉菜甜品主食一样不少，俩人吃不完！,139.0
6610755908379084807,金掌勺东北菜(刘家屯店),16,131108.0,10106,美食;中式餐饮;东北菜,550,14526.0,314.0,53,北京市,北京市,丰台区,北京市丰台区西罗园南里37号,116.387752,39.851184,1,【18分店通用】东北菜扛把子！319抢价值585的4-6人餐，人均50吃正宗东北菜！,319.0
6601182216531740679,金掌勺东北菜(双井店),17,129356.0,10106,美食;中式餐饮;东北菜,543,1790421.0,1063.0,54,北京市,北京市,朝阳区,北京市朝阳区广渠东路38号2层,116.465856,39.891679,1,金掌勺18分店通用！139抢价值270的双人餐，称霸各大榜单的锅包肉，热菜凉菜甜品主食一样不少，俩人吃不完！,139.0
6601178251631003661,金掌勺东北菜(丰科万达广场店),18,129232.0,10106,美食;中式餐饮;东北菜,545,9855.0,103.0,57,北京市,北京市,丰台区,北京市丰台区丰科路与五圈路万达广场4层4022号,116.293616,39.822937,1,金掌勺18分店通用！139抢价值270的双人餐，称霸各大榜单的锅包肉，热菜凉菜甜品主食一样不少，俩人吃不完！,139.0
6601185733694736397,金掌勺东北菜(太阳宫凯德MALL店),19,129151.0,10106,美食;中式餐饮;东北菜,544,11559.0,1092.0,59,北京市,北京市,朝阳区,北京市朝阳区太阳宫中路12号凯德商场4层27号,116.44046,39.969642,1,金掌勺18分店通用！139抢价值270的双人餐，称霸各大榜单的锅包肉，热菜凉菜甜品主食一样不少，俩人吃不完！,139.0
6601130232034363395,酒香居店小二,20,114505.0,10106,美食;中式餐饮;东北菜,8,166552.0,8.0,47,北京市,北京市,昌平区,北京市昌平区南辛路12号(化肥厂宿舍对面南口镇村路口内10米),116.133893,40.227876,0,,
6834843356355463168,乐顺平炖锅邨,21,110348.0,10106,美食;中式餐饮;东北菜,267,871886.0,2.0,0,北京市,北京市,昌平区,北京市昌平区崔村镇昌崔路真顺村46号,116.334736,40.224184,0,,
6601193034912630787,哈尔滨独一处,22,108632.0,10106,美食;中式餐饮;东北菜,1,94798.0,15.0,76,北京市,北京市,通州区,北京市通州区漷马路珠江逸景家园206号楼1单元101底商,116.538902,39.740461,0,,
6601181266572216328,金掌勺东北菜(旧宫店),23,96370.0,10106,美食;中式餐饮;东北菜,397,5137.0,107.0,57,北京市,北京市,大兴区,北京市大兴区小红门路与宣颐路交叉路口往南约50米(宣颐家园),116.449136,39.811294,1,【18分店通用】东北菜扛把子！319抢价值585的4-6人餐，人均50吃正宗东北菜！,319.0
6896964892406843400,金掌勺东北菜(万柳华联店),24,90402.0,10106,美食;中式餐饮;东北菜,375,16588.0,287.0,80,北京市,北京市,海淀区,北京市海淀区巴沟路2号北京华联万柳购物中心F5,116.288915,39.971746,1,【18分店通用】东北菜扛把子！319抢价值585的4-6人餐，人均50吃正宗东北菜！,319.0
6615228086159935491,新元祥盛,25,87687.0,10106,美食;中式餐饮;东北菜,1354,569292.0,274.0,57,北京市,北京市,丰台区,北京市丰台区顺八条8号院一区1号楼,116.419687,39.84801,0,,
6875868099560704007,合兴源东北铁锅炖,26,84105.0,10106,美食;中式餐饮;东北菜,1328,647277.0,57.0,0,北京市,北京市,顺义区,北京市顺义区S331(双河大街),116.687761,40.094646,0,,
6601141853439920141,金掌勺东北菜(劲松店),27,83200.0,10106,美食;中式餐饮;东北菜,334,132864.0,759.0,74,北京市,北京市,朝阳区,北京市朝阳区武圣路农光里206号2层,116.46138,39.879056,1,金掌勺18分店通用！139抢价值270的双人餐，称霸各大榜单的锅包肉，热菜凉菜甜品主食一样不少，俩人吃不完！,139.0
6601263368982497284,金掌勺东北菜(王府井店),28,73721.0,10106,美食;中式餐饮;东北菜,328,145642.0,1499.0,70,北京市,北京市,东城区,北京市东城区王府井大街255号王府井百货F6,116.404064,39.912671,1,【18分店通用】东北菜扛把子！319抢价值585的4-6人餐，人均50吃正宗东北菜！,319.0
6601141015900342279,金掌勺东北菜(通州万达广场店),29,73679.0,10106,美食;中式餐饮;东北菜,347,209968.0,186.0,67,北京市,北京市,通州区,北京市通州区新华西街58号万达广场F4,116.634219,39.904208,1,金掌勺18分店通用！139抢价值270的双人餐，称霸各大榜单的锅包肉，热菜凉菜甜品主食一样不少，俩人吃不完！,139.0
6601161290079537166,小金朝族饭馆(工体西门店),30,72289.0,10106,美食;中式餐饮;东北菜,36641,4305602.0,1576.0,41,北京市,北京市,东城区,北京市东城区吉市口东路与吉市口八条交叉路口往北约100米(职业大学东侧),116.433595,39.928434,0,,
